"searched_zipcode","searched_lat","searched_lng","searched_address","searched_state","searched_city","searched_metro","city_slug","latitude","longitude","distance","loc_name","loc_number","url","address","cuisines","delivery_fee_raw","delivery_fee","delivery_time_raw","delivery_time","service_fee_raw","service_fee","phone","review_count","review_rating","RunDate"
"11216","40.6788319","-73.9506774","300 Madison St, Brooklyn, NY 11216, USA","NY","Brooklyn","NY","","40.6839508","-73.97886489999999","1.5186154742747286","Cheeky's Cheesesteaks","2914505","https://www.doordash.com/store/2914505/?pickup=false","24 4th Ave, Brooklyn, NY 11217, USA","Onion Rings|Fries|Mediterranean|Cheesesteaks|Chicken Tenders","$0.00 delivery fee, first order",0.00,"27 - 37",32.0,"","","","3","1","2022-04-25 07:01:12"
"11219","40.6310753","-73.9976946","4701 15th Ave, Brooklyn, NY 11219, USA","NY","Brooklyn","NY","","40.6558412","-73.9596783","1.6569842432199982","Camille's Jamican Restaurant","1369034","https://www.doordash.com/store/1369034/?pickup=false","Camille's, 711 Flatbush Ave, Brooklyn, NY 11225, USA","Jamaican|Breakfast|Seafood|Soup","$0.00 delivery fee, first order",0.00,"34 - 44",39.0,"","","","17","3.8","2022-04-25 07:01:12"
"10003","40.7324733","-73.98738","41 Cooper Square, 7 E 7th St, New York, NY 10003, USA","NY","New York","NY","","40.6558412","-73.9596783","1.6569842432199982","Camille's Jamican Restaurant","1369034","https://www.doordash.com/store/1369034/?pickup=false","Camille's, 711 Flatbush Ave, Brooklyn, NY 11225, USA","Jamaican|Breakfast|Seafood|Soup","$0.00 delivery fee, first order",0.00,"34 - 44",39.0,"","","","17","3.8","2022-04-25 07:01:12"
"11216","40.6788319","-73.9506774","300 Madison St, Brooklyn, NY 11216, USA","NY","Brooklyn","NY","","40.6558412","-73.9596783","1.6569842432199982","Camille's Jamican Restaurant","1369034","https://www.doordash.com/store/1369034/?pickup=false","Camille's, 711 Flatbush Ave, Brooklyn, NY 11225, USA","Jamaican|Breakfast|Seafood|Soup","$0.00 delivery fee, first order",0.00,"34 - 44",39.0,"","","","17","3.8","2022-04-25 07:01:12"
"11219","40.6310753","-73.9976946","4701 15th Ave, Brooklyn, NY 11219, USA","NY","Brooklyn","NY","","40.6813264","-73.9769811","1.3889208727555298","The Montrose","313441","https://www.doordash.com/store/313441/?pickup=false","That Bar, 47 5th Ave, Brooklyn, NY 11217, USA","Hot Dogs|Salads|Fries|Sandwiches","$0.00 delivery fee, first order",0.00,"31 - 41",36.0,"","","","0","0","2022-04-25 07:01:12"
"11216","40.6788319","-73.9506774","300 Madison St, Brooklyn, NY 11216, USA","NY","Brooklyn","NY","","40.6813264","-73.9769811","1.3889208727555298","The Montrose","313441","https://www.doordash.com/store/313441/?pickup=false","That Bar, 47 5th Ave, Brooklyn, NY 11217, USA","Hot Dogs|Salads|Fries|Sandwiches","$0.00 delivery fee, first order",0.00,"31 - 41",36.0,"","","","0","0","2022-04-25 07:01:12"
"10003","40.7324733","-73.98738","41 Cooper Square, 7 E 7th St, New York, NY 10003, USA","NY","New York","NY","","40.6813264","-73.9769811","1.3889208727555298","The Montrose","313441","https://www.doordash.com/store/313441/?pickup=false","That Bar, 47 5th Ave, Brooklyn, NY 11217, USA","Hot Dogs|Salads|Fries|Sandwiches","$0.00 delivery fee, first order",0.00,"31 - 41",36.0,"","","","0","0","2022-04-25 07:01:12"
"11216","40.6788319","-73.9506774","300 Madison St, Brooklyn, NY 11216, USA","NY","Brooklyn","NY","","40.6940813","-73.9267257","1.6384868631092937","Salt & Pepper Deli & Grill","1775406","https://www.doordash.com/store/1775406/?pickup=false","Salt & Pepper Deli & Grill, 854 Bushwick Ave, Brooklyn, NY 11221, USA","Sandwiches|Vegan|Smoothies|Salads|Wraps","$0.00 delivery fee, first order",0.00,"38 - 48",43.0,"","","","145","4.4","2022-04-25 07:01:12"
"10003","40.7324733","-73.98738","41 Cooper Square, 7 E 7th St, New York, NY 10003, USA","NY","New York","NY","","40.6940813","-73.9267257","1.6384868631092937","Salt & Pepper Deli & Grill","1775406","https://www.doordash.com/store/1775406/?pickup=false","Salt & Pepper Deli & Grill, 854 Bushwick Ave, Brooklyn, NY 11221, USA","Sandwiches|Vegan|Smoothies|Salads|Wraps","$0.00 delivery fee, first order",0.00,"38 - 48",43.0,"","","","145","4.4","2022-04-25 07:01:12"
"11219","40.6310753","-73.9976946","4701 15th Ave, Brooklyn, NY 11219, USA","NY","Brooklyn","NY","","40.6940813","-73.9267257","1.6384868631092937","Salt & Pepper Deli & Grill","1775406","https://www.doordash.com/store/1775406/?pickup=false","Salt & Pepper Deli & Grill, 854 Bushwick Ave, Brooklyn, NY 11221, USA","Sandwiches|Vegan|Smoothies|Salads|Wraps","$0.00 delivery fee, first order",0.00,"38 - 48",43.0,"","","","145","4.4","2022-04-25 07:01:12"
"11219","40.6310753","-73.9976946","4701 15th Ave, Brooklyn, NY 11219, USA","NY","Brooklyn","NY","","40.6864068","-73.9783928","1.543529171694518","Next Level Clucker","1478451","https://www.doordash.com/store/1478451/?pickup=false","292 Ashland Pl, Brooklyn, NY 11217, USA","Dessert|Beverages|Soup|Tater Tots|Sweet Potato Fries|Nuggets|Wings|Family Meals|Protein Shakes|Organic Shakes|Milk Shakes|shakes|Onion Rings|Fries|Sandwiches|Chicken|Salads|Vegan|Healthy|Vegetarian|Ve","$0.00 delivery fee, first order",0.00,"29 - 39",34.0,"","","","111","4.4","2022-04-25 07:01:12"
"10003","40.7324733","-73.98738","41 Cooper Square, 7 E 7th St, New York, NY 10003, USA","NY","New York","NY","","40.6864068","-73.9783928","1.543529171694518","Next Level Clucker","1478451","https://www.doordash.com/store/1478451/?pickup=false","292 Ashland Pl, Brooklyn, NY 11217, USA","Dessert|Beverages|Soup|Tater Tots|Sweet Potato Fries|Nuggets|Wings|Family Meals|Protein Shakes|Organic Shakes|Milk Shakes|shakes|Onion Rings|Fries|Sandwiches|Chicken|Salads|Vegan|Healthy|Vegetarian|Ve","$0.00 delivery fee, first order",0.00,"29 - 39",34.0,"","","","111","4.4","2022-04-25 07:01:12"
"11216","40.6788319","-73.9506774","300 Madison St, Brooklyn, NY 11216, USA","NY","Brooklyn","NY","","40.6864068","-73.9783928","1.543529171694518","Next Level Clucker","1478451","https://www.doordash.com/store/1478451/?pickup=false","292 Ashland Pl, Brooklyn, NY 11217, USA","Dessert|Beverages|Soup|Tater Tots|Sweet Potato Fries|Nuggets|Wings|Family Meals|Protein Shakes|Organic Shakes|Milk Shakes|shakes|Onion Rings|Fries|Sandwiches|Chicken|Salads|Vegan|Healthy|Vegetarian|Ve","$0.00 delivery fee, first order",0.00,"29 - 39",34.0,"","","","111","4.4","2022-04-25 07:01:12"
